 StaID  EPI(km) AZI(degree) PGV(cm/s)  T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE          ML    MD         txtfile
TAIH   207.096  229.369     .213E-03   90.36  142.95   52.59    .71    .06   1.332  1.801   .453E-04   .205E-02   4.39   3.30  Meq21para_result.txt
TWMB   210.235  220.853     .144E-02   60.53  140.27   79.74    .79   -.28   1.206  1.875   .110E-03   .279E-01   4.42   3.67  Meq21para_result.txt
DPDB    89.510  253.602     .919E-04   93.79  157.64   63.85    .75    .16   1.038   .513   .292E-04   .253E-03   3.17   3.05  Meq21para_result.txt
WLGB   173.196  240.130     .125E-02   95.15  140.50   45.35    .96    .86   1.500  1.960   .402E-03   .271E-02   4.57   3.05  Meq21para_result.txt
FULB   127.543  202.498     .221E-03   73.97  149.74   75.77    .97    .56   1.004  2.088   .319E-04   .303E-02   3.35   3.34  Meq21para_result.txt
WSSB   236.613  220.936     .114E-02   84.25  132.86   48.61   1.15   1.65   1.399  1.828   .222E-03   .910E-02   4.66   3.33  Meq21para_result.txt
HGSD    92.460  202.536     .133E-02   88.00  149.50   61.50    .77   -.05   1.237  2.822   .487E-03   .374E-03   3.75   3.03  Meq21para_result.txt
YULB   107.874  206.669     .454E-04   88.47  137.98   49.51    .42   -.38    .974  1.651   .161E-04   .197E-03   2.82   2.90  Meq21para_result.txt
MASB   216.678  212.671     .130E-02   50.58  111.74   61.16   1.17    .90   1.233  3.068   .380E-04   .161E-01   4.27   3.46  Meq21para_result.txt
DPDB    99.307  240.317     .939E-04   65.00   79.58   14.58   1.23    .76   1.761   .033   .178E-04   .205E-03   3.18   1.80  Meq22para_result.txt
TPUB   175.032  221.994     .462E-03   63.23   84.15   20.92    .61   -.61   1.619   .509   .112E-03   .210E-02   3.86   2.38  Meq22para_result.txt
ESLB    88.456  247.165     .379E-03   83.14  143.77   60.63   2.11   5.95   1.015   .478   .339E-04   .216E-02   3.05   3.01  Meq23para_result.txt
WGKB   176.944  254.379     .631E-03  116.87  163.68   46.82   1.04   1.04   1.376   .787   .370E-03  -.611E-02   4.25   3.09  Meq23para_result.txt
DPDB   134.082  265.977     .180E-03  103.40  140.60   37.20    .83   -.09   1.315   .965   .466E-04   .802E-03   3.60   2.74  Meq23para_result.txt
ENLB    69.496  249.587     .168E-02  109.80  188.98   79.19   2.52  11.36   1.094  1.359   .632E-03  -.256E-01   3.47   3.17  Meq23para_result.txt
