 StaID  EPI(km) AZI(degree) PGV(cm/s)  T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE          ML    MD         txtfile
ALSB   161.894  220.249     .294E-03   71.79   97.59   25.81   1.64   2.98   1.467  2.189   .701E-04   .518E-04   3.70   2.52  Meq01para_result.txt
SGSB   213.245  216.799     .667E-04   43.83  147.32  103.49   1.73   4.66    .966  1.334   .186E-04  -.173E-03   3.77   3.91  Meq01para_result.txt
ESLB    98.913  204.095     .134E-03   44.93   85.06   40.13   1.47   1.64   1.156  -.116   .146E-04   .833E-03   3.10   2.68  Meq01para_result.txt
TWHB   219.167  189.550     .151E-02  151.04  174.84   23.79   1.26   1.48   1.742  2.734   .523E-03  -.119E-04   4.62   2.65  Meq01para_result.txt
ELDB   179.678  207.574     .902E-04   55.45   95.39   39.93   1.46   1.39   1.176  1.690   .820E-05   .591E-03   3.48   2.96  Meq01para_result.txt
DPDB   113.502  234.742     .860E-04   45.29   90.89   45.60   1.66   2.47   1.141   .487   .102E-04   .512E-03   3.25   2.85  Meq01para_result.txt
NACB    56.005  206.180     .263E-03   37.44   70.74   33.30   2.49   8.09   1.178  1.900   .145E-04   .971E-03   2.79   2.37  Meq01para_result.txt
TDCB    80.421  239.071     .209E-03   42.72   69.69   26.98   3.13  11.37   1.273  1.982   .173E-04   .309E-03   2.89   2.27  Meq01para_result.txt
TPUB   191.576  220.158     .546E-04   75.23   93.45   18.22    .56    .21   1.498   .407   .188E-04   .673E-04   3.48   2.32  Meq01para_result.txt
SSLB   129.276  224.150     .118E-03   46.69   85.43   38.74   3.09  10.96   1.083   .792   .775E-05   .273E-03   2.99   2.76  Meq01para_result.txt
CHGB    92.120  227.111     .401E-03   43.21   78.92   35.71   1.92   3.45   1.270  3.095   .122E-04   .269E-02   3.25   2.56  Meq01para_result.txt
HGSD   132.598  198.593     .150E-02   62.56  105.48   42.92   1.04    .11   1.491  2.667   .309E-03   .901E-02   4.26   2.86  Meq01para_result.txt
YULB   147.419  202.017     .609E-04   63.29   86.87   23.58   1.06    .92   1.397  1.104   .678E-05   .276E-03   3.34   2.39  Meq01para_result.txt
NNSB    51.119  244.496     .258E-03   37.06   62.07   25.00   2.29   5.97   1.394  -.560   .220E-04   .772E-03   2.93   2.10  Meq01para_result.txt
ALSB    24.853  115.750     .484E-03  140.24  157.26   17.02   2.40   5.08   1.359  1.723   .430E-04   .725E-03   2.28   1.68  Meq02para_result.txt
WGKB     9.019  344.459     .146E-02  139.93  153.51   13.57   2.60   9.10   1.819 -1.255   .380E-03  -.892E-03   2.60   1.43  Meq02para_result.txt
TWMB    88.421  190.922     .351E-03   35.56   53.96   18.40    .57   -.02   1.761  -.419   .137E-03   .460E-03   3.47   1.97  Meq02para_result.txt
TPUB    34.009  173.857     .123E-03  145.10  153.66    8.56   1.58   2.46   1.873   .380   .166E-04   .152E-03   2.09   1.11  Meq02para_result.txt
SSLB    41.834   61.228     .310E-04  142.98  153.98   11.00   1.30   1.16   1.508   .748   .824E-05   .209E-04   2.05   1.36  Meq02para_result.txt
ALSB    51.410  277.185     .323E-03  116.74  147.74   31.01   1.93   3.25   1.168  1.906   .396E-04   .981E-03   2.68   2.29  Meq03para_result.txt
CHKH    39.579  171.101     .129E-03  132.90  149.20   16.30   2.08   4.81   1.631  1.699   .174E-04   .350E-03   2.76   1.69  Meq03para_result.txt
SGSB    84.493  241.091     .519E-04  143.51  157.89   14.38    .96   1.45   1.718  1.175   .112E-04   .121E-03   2.99   1.74  Meq03para_result.txt
ESLB    42.031   18.140     .131E-03  131.09  146.36   15.27    .90   -.09   1.373  -.804   .188E-04   .403E-03   2.26   1.65  Meq03para_result.txt
TWHB    87.653  168.442     .171E-02  120.72  136.24   15.53   -.16    .00   2.141  3.028   .655E-03   .283E-02   3.89   1.82  Meq03para_result.txt
ELDB    41.464  225.251     .358E-03  125.39  150.23   24.84   1.47   1.56   1.269  -.103   .830E-05   .160E-02   2.62   2.07  Meq03para_result.txt
DPDB    75.549  328.650     .483E-04  132.98  158.36   25.39    .79    .26   1.352   .355   .809E-05   .270E-03   2.98   2.20  Meq03para_result.txt
FULB    27.993  183.983     .137E-02  125.04  150.81   25.77   2.33   5.22   1.289  2.286   .346E-04   .463E-02   2.64   2.05  Meq03para_result.txt
SSLB    52.229  315.562     .107E-03  128.41  147.46   19.06   2.27   5.17   1.155  -.064   .104E-04   .247E-03   2.16   1.87  Meq03para_result.txt
CHGB    68.903  348.167     .180E-03  132.24  172.49   40.25   2.20   5.99   1.097  2.149   .438E-04  -.355E-03   2.83   2.58  Meq03para_result.txt
HGSD    12.202   68.089     .341E-01  124.19  149.26   25.07   2.44   6.73   1.815  2.306   .781E-03   .935E-01   3.58   1.97  Meq03para_result.txt
YULB     6.686  194.067     .278E-02  120.79  133.95   13.16   4.69  24.57   2.005  -.897   .430E-04   .203E-02   2.79   1.39  Meq03para_result.txt
ESLB    21.847  314.311     .193E-03   28.45   47.91   19.46   1.47   1.45   1.460 -1.108   .179E-04   .498E-03   2.61   1.78  Meq04para_result.txt
ELDB    79.324  227.306     .143E-03   30.11   54.86   24.75   2.76   9.87   1.311   .697   .130E-04   .298E-03   2.88   2.19  Meq04para_result.txt
FULB    60.931  210.359     .131E-03   36.99   57.39   20.40    .92    .10   1.666  1.691   .187E-04   .570E-03   3.27   1.96  Meq04para_result.txt
NACB    55.325  359.969     .135E-03   30.91   47.31   16.40   2.71   9.69   1.519  1.712   .257E-04   .329E-04   2.66   1.75  Meq04para_result.txt
SSLB    66.517  281.015     .362E-04   36.88   52.15   15.27   1.87   6.16   1.472   .132   .892E-05   .134E-04   2.55   1.73  Meq04para_result.txt
CHGB    60.532  315.013     .203E-03   23.81   51.92   28.10   2.42   7.35   1.302  2.320   .245E-04   .564E-03   2.92   2.24  Meq04para_result.txt
HGSD    26.647  220.958     .182E-02   29.10   53.34   24.24    .71   -.70   1.795  2.044   .476E-03   .564E-02   3.58   1.99  Meq04para_result.txt
YULB    43.541  224.346     .713E-04   31.76   49.35   17.59   1.96   4.74   1.553   .116   .865E-05   .141E-03   2.75   1.77  Meq04para_result.txt
ALSB   123.711  231.365     .127E-03   56.97   99.74   42.77   1.00   1.69   1.217   .904   .311E-04   .463E-03   3.44   2.83  Meq05para_result.txt
ESLB    54.609  216.440     .113E-03   93.37  121.81   28.44   1.59   2.60   1.174   .373   .185E-04   .346E-03   2.62   2.23  Meq05para_result.txt
TWMB   204.923  221.725     .628E-03  130.78  148.19   17.41    .93   1.40   1.813   .217   .141E-03   .110E-02   4.22   2.33  Meq05para_result.txt
DPDB    86.895  257.243     .112E-03  100.48  127.94   27.46   2.33   6.49   1.334   .505   .134E-04   .235E-03   3.08   2.31  Meq05para_result.txt
NACB    17.231  256.964     .437E-03   87.97  105.32   17.35   2.13   4.51   1.203  1.053   .436E-04   .638E-03   2.01   1.67  Meq05para_result.txt
TDCB    61.275  274.692     .450E-04  100.45  115.39   14.93   1.22    .95   1.557  1.375   .120E-04   .708E-04   2.64   1.69  Meq05para_result.txt
SSLB    94.315  240.514     .598E-04  100.76  133.18   32.41   3.14  11.47   1.101  1.593   .693E-05   .983E-04   2.73   2.48  Meq05para_result.txt
CHGB    61.767  254.653     .508E-03   93.37  121.81   28.44   2.81   8.46   1.287  2.728   .202E-04   .154E-02   2.90   2.25  Meq05para_result.txt
NNSB    45.328  302.493     .160E-03   98.05  115.73   17.68   2.31   7.79   1.376  -.697   .295E-04   .109E-03   2.45   1.78  Meq05para_result.txt
ALSB   131.053  267.510     .144E-03   85.16  118.13   32.98   1.17   1.71   1.334  1.556   .208E-04   .738E-03   3.50   2.63  Meq06para_result.txt
ESLB    72.093  292.398     .707E-04   68.01  148.09   80.09   1.16   1.61    .892  -.519   .148E-04   .430E-03   2.84   3.19  Meq06para_result.txt
ELDB   117.136  249.285     .154E-03   81.60  120.92   39.32   2.46   6.84   1.153   .884   .182E-04   .491E-03   3.15   2.73  Meq06para_result.txt
FULB    91.423  243.833     .236E-03   82.02  111.87   29.84   1.26   1.41   1.485  1.660   .301E-04   .115E-02   3.56   2.40  Meq06para_result.txt
NACB    84.530  322.966     .139E-03   86.12  124.75   38.64   3.23  14.69   1.100  1.833   .246E-04  -.414E-04   2.86   2.60  Meq06para_result.txt
CHGB   108.724  300.460     .118E-03   80.98  125.54   44.56   1.88   5.78   1.147  2.124   .306E-04   .348E-04   3.22   2.81  Meq06para_result.txt
HGSD    69.067  263.424     .440E-02   74.80  110.53   35.73   1.64   2.88   1.560  2.335   .274E-03   .236E-01   3.87   2.48  Meq06para_result.txt
YULB    83.773  256.976     .219E-03   77.38  105.30   27.92   3.63  14.86   1.268   .665   .108E-04   .383E-03   2.94   2.32  Meq06para_result.txt
ALSB    89.440  315.815     .121E-03  122.85  184.49   61.64    .84   1.11   1.086  1.128   .295E-04   .928E-03   3.28   3.02  Meq07para_result.txt
CHKH    19.287  344.229     .733E-03  104.72  122.66   17.94   3.42  14.77   1.584   .778   .249E-04   .120E-02   2.70   1.70  Meq07para_result.txt
SGSB    86.982  281.187     .757E-04  130.08  138.53    8.45    .42    .15   2.538  1.461   .280E-04   .536E-04   3.27   1.29  Meq07para_result.txt
ELDB    49.772  304.931     .180E-03  110.19  143.15   32.97   2.14   5.28   1.097  1.016   .215E-04   .585E-03   2.57   2.34  Meq07para_result.txt
FULB    32.583  335.907     .629E-03  108.32  140.35   32.03   1.91   4.42   1.273  1.273   .657E-04   .206E-02   2.87   2.26  Meq07para_result.txt
TWGB    37.417  250.649     .690E-03  107.87  135.27   27.41   1.90   4.54   1.512  1.246   .469E-04   .309E-02   3.23   2.14  Meq07para_result.txt
TPUB    91.079  296.913     .531E-04  126.21  141.78   15.57    .74    .04   1.654   .726   .292E-04  -.643E-04   3.03   1.83  Meq07para_result.txt
HGSD    62.213  359.990     .167E-02  114.59  145.31   30.71    .81    .09   1.620  2.592   .250E-03   .118E-01   3.76   2.32  Meq07para_result.txt
YULB    52.800  345.785     .834E-04  110.13  140.30   30.17   2.43   9.76   1.209   .757   .398E-05   .339E-03   2.75   2.27  Meq07para_result.txt
ALSB    85.711  324.575     .673E-03   40.99   99.20   58.20   1.64   2.68   1.113  2.769   .587E-04   .567E-02   3.30   2.96  Meq08para_result.txt
CHKH    25.434   17.041     .178E-02   53.16   84.57   31.41   1.97   4.79   1.285   .846   .802E-04   .812E-02   2.84   2.21  Meq08para_result.txt
SGSB    76.056  287.258     .363E-03   62.32  107.92   45.60   1.42   2.30   1.186  2.075   .466E-04   .207E-02   3.22   2.71  Meq08para_result.txt
ESLB   104.362    7.937     .224E-03   66.76  120.80   54.04   1.71   3.29   1.035   .880   .132E-04   .158E-02   3.06   2.96  Meq08para_result.txt
WGKB   116.339  320.253     .585E-03   80.53  130.52   49.99   1.30   1.99   1.347  1.329   .825E-04   .377E-02   3.95   2.94  Meq08para_result.txt
TAIH   110.408  279.435     .184E-03   81.70  115.26   33.56    .75   1.67   1.507  1.713   .355E-04   .980E-03   3.87   2.57  Meq08para_result.txt
TWHB    29.348  139.917     .452E-02   59.90  109.94   50.03   2.32   9.81   1.273  2.405   .248E-02  -.771E-01   3.35   2.63  Meq08para_result.txt
TWMB    89.385  266.156     .552E-03   66.21  150.67   84.46   1.63   3.91   1.132  1.576   .917E-04   .311E-02   3.73   3.30  Meq08para_result.txt
ELDB    44.294  320.595     .192E-02   55.11   90.83   35.72   2.73   9.29   1.289  1.722   .316E-04   .899E-02   3.08   2.39  Meq08para_result.txt
ECLB    46.684  228.112     .123E-02   61.44   90.26   28.82   2.29   6.12   1.341  1.380   .771E-04   .327E-02   2.97   2.21  Meq08para_result.txt
DPDB   133.454  343.463     .159E-03   72.83  120.77   47.94   1.56   3.68   1.124  1.412   .199E-04   .684E-03   3.33   2.96  Meq08para_result.txt
FULB    35.499  359.008     .771E-02   55.46   88.44   32.98   2.87  10.52   1.488  2.939   .149E-03   .279E-01   3.41   2.29  Meq08para_result.txt
TWGB    23.545  253.549     .190E-01   53.29   82.00   28.70   2.22   5.03   1.803  2.378   .310E-03   .681E-01   3.84   2.13  Meq08para_result.txt
TPUB    83.058  304.394     .386E-03   63.87   95.46   31.59   1.99   4.28   1.241  1.256   .306E-04   .168E-02   3.00   2.42  Meq08para_result.txt
SSLB   106.696  340.711     .871E-04   65.36  110.57   45.22   1.16   1.28   1.022  1.818   .628E-05   .845E-03   2.88   2.81  Meq08para_result.txt
CHGB   131.482  354.410     .208E-03   73.49  119.68   46.19   1.04   1.25   1.149  2.938   .297E-04   .164E-02   3.35   2.92  Meq08para_result.txt
HGSD    69.140   10.541     .920E-02   60.04  107.96   47.92   1.35   1.47   1.511  3.102   .498E-03   .799E-01   4.13   2.73  Meq08para_result.txt
YULB    56.934  359.701     .329E-03   60.92  110.95   50.02   1.67   2.75    .978  1.196   .155E-04   .227E-02   2.67   2.73  Meq08para_result.txt
MASB    74.552  246.861     .209E-03   61.18  100.44   39.26   1.98   4.81   1.170  2.145   .292E-04   .506E-03   3.02   2.58  Meq08para_result.txt
ALSB   153.194  351.080     .434E-03   77.09  122.03   44.94   1.69   3.39   1.240  1.941   .849E-04   .752E-03   3.68   2.97  Meq09para_result.txt
CHKH   111.073   17.533     .246E-03   78.15   99.82   21.67   2.15   5.76   1.669  1.675   .557E-04  -.115E-03   3.66   2.19  Meq09para_result.txt
SGSB   113.993  335.857     .212E-03   71.17  100.24   29.07   1.24   2.57   1.370  1.531   .587E-04   .383E-03   3.37   2.46  Meq09para_result.txt
ESLB   189.306   12.286     .547E-04   79.24  120.21   40.97    .88    .24   1.127  1.175   .176E-04   .151E-03   3.40   3.02  Meq09para_result.txt
TWMB    98.365  320.077     .413E-03   67.89  104.29   36.40   1.19   2.16   1.421  1.494   .102E-03   .143E-02   3.69   2.60  Meq09para_result.txt
ELDB   115.780  358.947     .208E-03   69.68  102.71   33.03   1.00   1.70   1.243  2.057   .486E-04   .730E-03   3.20   2.57  Meq09para_result.txt
ECLB    51.093  350.250     .738E-03   61.89   80.74   18.85   1.61   3.77   1.600   .946   .321E-04   .268E-02   2.97   1.86  Meq09para_result.txt
DPDB   209.804  356.677     .578E-04   81.92  134.32   52.40   1.44   2.65   1.127   .870   .163E-04   .686E-04   3.72   3.30  Meq09para_result.txt
FULB   119.795   12.229     .435E-03   70.32  110.43   40.11   1.82   3.85   1.373  2.358   .413E-04   .199E-02   3.78   2.76  Meq09para_result.txt
TWGB    74.958    2.660     .170E-02   64.83   93.40   28.57   1.49   3.33   1.641  2.754   .185E-03   .796E-02   3.78   2.30  Meq09para_result.txt
TPUB   135.256  341.654     .907E-04   75.11  114.89   39.78    .68    .14   1.171   .878   .341E-04   .242E-03   3.28   2.80  Meq09para_result.txt
SSLB   182.471  357.056     .445E-04   80.32  115.81   35.48    .89    .10   1.153  1.557   .102E-04   .235E-03   3.31   2.87  Meq09para_result.txt
CHGB   212.817    3.506     .905E-04   83.96  134.22   50.26    .55   -.38   1.130  1.875   .215E-04   .865E-03   3.70   3.28  Meq09para_result.txt
HGSD   154.474   14.464     .188E-02   72.95  122.79   49.83   1.07    .94   1.439  2.656   .172E-03   .195E-01   4.41   3.07  Meq09para_result.txt
YULB   140.872   10.493     .570E-04   72.30  118.81   46.50    .71    .08   1.136  1.704   .663E-05   .573E-03   3.36   2.96  Meq09para_result.txt
MASB    67.262  320.861     .195E-03   60.24   94.98   34.74   1.19    .78   1.193  2.621   .161E-04   .118E-02   2.92   2.45  Meq09para_result.txt
ALSB    82.700  310.323     .544E-03  101.40  121.65   20.26   1.81   3.08   1.619  2.489   .126E-03   .457E-05   3.29   2.03  Meq10para_result.txt
ESLB    86.982     .704     .254E-03  103.22  117.48   14.26   3.12  11.62   1.733 -1.084   .422E-04   .112E-03   3.02   1.74  Meq10para_result.txt
WGKB   114.229  309.816     .384E-03  111.97  141.31   29.34   2.59  10.79   1.613  1.649   .408E-04   .120E-02   3.98   2.46  Meq10para_result.txt
TWHB    39.225  172.023     .694E-03  111.19  122.66   11.47    .67   -.22   2.139  2.955   .118E-03   .220E-02   2.97   1.39  Meq10para_result.txt
ELDB    45.206  293.294     .279E-03   89.47  112.06   22.59   1.47   2.02   1.262   .247   .447E-04   .940E-03   2.52   2.00  Meq10para_result.txt
DPDB   122.823  335.310     .102E-03  100.37  133.01   32.64   2.65   8.20   1.306   .922   .121E-04   .270E-03   3.38   2.59  Meq10para_result.txt
FULB    23.708  323.756     .520E-03   88.92  123.49   34.57   1.66   3.63   1.114  1.209   .494E-04   .193E-02   2.55   2.29  Meq10para_result.txt
TWGB    42.750  237.417     .148E-02   95.40  108.78   13.37   2.66   8.56   2.106   .948   .406E-03  -.172E-02   3.23   1.53  Meq10para_result.txt
SSLB    97.356  330.061     .620E-04  105.65  118.19   12.54    .98    .62   1.675   .484   .235E-04  -.278E-04   2.79   1.67  Meq10para_result.txt
CHGB   117.437  347.147     .131E-03  101.36  122.18   20.81   1.00    .80   1.497  2.288   .556E-04  -.158E-03   3.26   2.18  Meq10para_result.txt
HGSD    51.594  359.195     .665E-02   94.51  122.94   28.43   2.04   4.56   1.700  2.610   .248E-03   .284E-01   3.77   2.22  Meq10para_result.txt
YULB    42.804  341.362     .310E-03   91.27  117.73   26.46   3.83  17.85   1.266  -.956   .915E-05   .690E-03   2.69   2.12  Meq10para_result.txt
ESLB    58.560  213.158     .681E-04   50.52   78.65   28.13   1.19   1.21   1.124  -.523   .130E-04   .260E-03   2.51   2.23  Meq11para_result.txt
DPDB    87.769  253.939     .552E-04   59.04   94.57   35.53   2.04   6.22   1.218  1.250   .697E-05   .169E-03   3.09   2.54  Meq11para_result.txt
NACB    18.680  241.270     .358E-03   42.28   60.51   18.22   2.87  10.15   1.096  1.016   .131E-04   .652E-03   1.88   1.72  Meq11para_result.txt
TDCB    60.663  269.923     .595E-04   58.87   70.20   11.33   2.25   4.97   1.756  1.391   .100E-04   .682E-04   2.55   1.45  Meq11para_result.txt
CHGB    62.924  250.077     .157E-03   55.09   86.58   31.48   1.83   3.30   1.184  2.279   .270E-04   .333E-03   2.78   2.35  Meq11para_result.txt
NNSB    42.446  296.980     .219E-03   52.86   61.06    8.21   2.14   4.81   2.064  -.192   .160E-04   .217E-03   2.28   1.11  Meq11para_result.txt
ALSB   114.601  233.346     .580E-03   69.74  124.97   55.23   1.91   3.40   1.155  2.564   .834E-04   .265E-02   3.48   3.02  Meq12para_result.txt
SGSB   163.099  224.852     .338E-03   92.21  110.12   17.92   1.37   3.82   1.688  1.194   .704E-04   .724E-03   3.73   2.21  Meq12para_result.txt
ESLB    44.734  218.343     .143E-02   57.29   85.96   28.66   1.79   2.62   1.525  -.473   .778E-04   .608E-02   3.36   2.20  Meq12para_result.txt
WGKB   126.363  247.315     .807E-03   73.40  124.51   51.11   1.46   2.37   1.341   .422   .919E-04   .453E-02   4.01   2.99  Meq12para_result.txt
ELDB   125.713  214.100     .320E-03   72.63  102.42   29.78   1.00    .47   1.272  1.309   .107E-03   .614E-03   3.20   2.52  Meq12para_result.txt
PTSB   108.256  289.170     .605E-03   67.50  117.11   49.60   1.10   1.44   1.324  2.074   .114E-03   .418E-02   3.84   2.90  Meq12para_result.txt
DPDB    80.740  262.629     .406E-03   62.71  100.59   37.87   1.98   4.62   1.224  1.119   .292E-04   .226E-02   3.14   2.57  Meq12para_result.txt
ENLB    27.417  204.566     .636E-02   63.38   94.40   31.02   2.79   9.53   1.626  2.002   .341E-03   .169E-01   3.59   2.21  Meq12para_result.txt
FULB   111.522  202.664     .520E-03   68.03  203.15  135.13   2.43   7.03    .900  1.909   .329E-04   .464E-02   3.41   3.78  Meq12para_result.txt
NACB    13.093  292.282     .798E-03   55.42   90.05   34.63   2.62   8.19   1.121  1.299   .583E-04   .199E-02   2.53   2.25  Meq12para_result.txt
TDCB    58.076  283.796     .329E-03   49.55   78.96   29.41   1.97   4.98   1.185  1.754   .546E-04   .615E-03   2.69   2.27  Meq12para_result.txt
TPUB   143.609  230.532     .188E-03   89.29  124.03   34.74   1.54   2.19   1.240  1.134   .126E-03  -.227E-02   3.36   2.71  Meq12para_result.txt
SSLB    86.058  244.097     .345E-03   63.51  100.60   37.09   2.47   7.01   1.121  1.126   .156E-04   .145E-02   2.88   2.57  Meq12para_result.txt
CHGB    55.400  262.208     .166E-02   59.53  111.01   51.49   2.80   9.48   1.230  2.926   .131E-03   .356E-02   3.38   2.75  Meq12para_result.txt
HGSD    76.439  202.796     .106E-01   62.92  109.04   46.13   1.18    .78   1.595  3.485   .881E-03   .884E-01   4.35   2.73  Meq12para_result.txt
YULB    91.934  207.600     .283E-03   63.53  110.07   46.54   1.54   2.27   1.035   .663   .146E-04   .178E-02   2.88   2.79  Meq12para_result.txt
NNSB    47.210  314.678     .916E-03   58.79   86.71   27.92   3.37  12.57   1.357   .438   .273E-04   .231E-02   2.97   2.19  Meq12para_result.txt
ALSB   126.195  234.041     .139E-02   70.52  135.79   65.27   1.39   1.82   1.224  2.369   .122E-03   .163E-01   3.92   3.20  Meq13para_result.txt
SGSB   174.373  225.924     .454E-03   99.70  135.85   36.15   1.07   1.16   1.311  1.508   .122E-03   .110E-02   3.74   2.86  Meq13para_result.txt
ESLB    55.725  222.904     .319E-02   57.99  108.87   50.88   1.97   4.73   1.270  2.862   .421E-03   .869E-02   3.48   2.74  Meq13para_result.txt
WGKB   137.961  246.776     .231E-02   75.85  150.55   74.70   1.35   1.50   1.218  2.174   .127E-03   .251E-01   4.09   3.36  Meq13para_result.txt
TWMB   206.352  223.456     .414E-03   89.40  161.55   72.15    .74   1.07   1.200  2.283   .826E-04   .497E-02   4.28   3.57  Meq13para_result.txt
ELDB   136.275  216.319     .489E-03   69.00  129.15   60.14   1.23   1.82   1.063  2.876   .447E-04   .609E-02   3.36   3.17  Meq13para_result.txt
PTSB   116.289  284.883     .178E-02   72.09  124.43   52.34   1.20    .85   1.347  3.377   .280E-03   .157E-01   4.01   2.97  Meq13para_result.txt
DPDB    91.657  259.912     .854E-03   63.08  113.82   50.74   1.04    .71   1.240  3.015   .380E-04   .116E-01   3.55   2.86  Meq13para_result.txt
ENLB    37.507  215.117     .125E-01   75.88  112.89   37.01   1.74   2.98   1.579  3.079   .766E-03   .604E-01   3.79   2.40  Meq13para_result.txt
WLGB   172.705  243.513     .142E-02   85.15  189.64  104.49   1.25   1.85   1.188  2.066   .141E-03   .212E-01   4.48   3.77  Meq13para_result.txt
FULB   120.962  206.094     .101E-02   69.35  163.60   94.26   1.21    .98   1.055  3.614   .434E-04   .169E-01   3.69   3.50  Meq13para_result.txt
NACB    22.285  267.995     .859E-02   51.83   88.24   36.41   2.91   9.28   1.416  3.649   .852E-03   .963E-02   3.30   2.33  Meq13para_result.txt
TWGB   168.489  206.554     .688E-03   84.06  137.16   53.09    .55   -.23   1.236  3.156   .222E-03   .480E-02   3.92   3.17  Meq13para_result.txt
TDCB    67.046  276.971     .934E-03   60.87   90.39   29.53   1.51   2.68   1.363  3.051   .136E-03   .279E-02   3.14   2.31  Meq13para_result.txt
TPUB   155.124  231.315     .351E-03   75.61  126.39   50.77   1.26   1.36   1.132  1.025   .527E-04   .249E-02   3.49   3.08  Meq13para_result.txt
SSLB    97.713  243.701     .967E-03   64.52  105.67   41.15   2.16   6.18   1.228  3.045   .858E-04   .392E-02   3.32   2.70  Meq13para_result.txt
CHGB    66.384  258.509     .349E-02   60.40  126.73   66.34   1.67   2.30   1.273  4.096   .219E-03   .331E-01   3.83   3.01  Meq13para_result.txt
HGSD    85.980  207.593     .233E-01   64.18  129.24   65.06   1.29   1.19   1.539  3.892   .126E-02   .253E+00   4.70   3.06  Meq13para_result.txt
YULB   101.940  211.202     .492E-03   64.61  145.12   80.51   1.47   1.84    .972  3.476   .119E-04   .679E-02   3.21   3.30  Meq13para_result.txt
