  Time(sec)     RMS      ENVELOPE
    2.3600  0.13066E-04  0.27459E-04
    2.3700  0.17445E-04  0.27476E-04
    2.3800  0.21399E-04  0.27494E-04
    2.3900  0.24560E-04  0.27511E-04
    2.4000  0.26652E-04  0.27529E-04
    2.4100  0.27547E-04  0.27547E-04
    2.4200  0.27247E-04  0.26747E-04
    2.4300  0.25837E-04  0.25948E-04
    2.4400  0.23471E-04  0.25148E-04
    2.4500  0.20393E-04  0.24349E-04
    2.4600  0.17013E-04  0.23549E-04
    2.4700  0.13950E-04  0.22750E-04
    2.4800  0.11973E-04  0.21950E-04
    2.4900  0.11616E-04  0.21151E-04
    2.5000  0.12616E-04  0.20351E-04
    2.5100  0.14182E-04  0.19552E-04
    2.5200  0.15673E-04  0.18752E-04
    2.5300  0.16726E-04  0.17953E-04
    2.5400  0.17153E-04  0.17153E-04
    2.5500  0.16875E-04  0.17539E-04
    2.5600  0.15943E-04  0.17925E-04
    2.5700  0.14576E-04  0.18311E-04
    2.5800  0.13189E-04  0.18697E-04
    2.5900  0.12368E-04  0.19083E-04
    2.6000  0.12637E-04  0.19469E-04
    2.6100  0.14039E-04  0.19855E-04
    2.6200  0.16129E-04  0.20241E-04
    2.6300  0.18333E-04  0.20626E-04
    2.6400  0.20180E-04  0.21012E-04
    2.6500  0.21377E-04  0.21398E-04
    2.6600  0.21784E-04  0.21784E-04
    2.6700  0.21344E-04  0.21208E-04
    2.6800  0.20039E-04  0.20632E-04
    2.6900  0.17902E-04  0.20056E-04
    2.7000  0.15049E-04  0.19480E-04
    2.7100  0.11680E-04  0.18904E-04
    2.7200  0.80398E-05  0.18328E-04
    2.7300  0.44180E-05  0.17753E-04
    2.7400  0.14201E-05  0.17177E-04
    2.7500  0.24645E-05  0.16601E-04
    2.7600  0.46462E-05  0.16025E-04
    2.7700  0.62201E-05  0.15449E-04
    2.7800  0.71406E-05  0.14873E-04
    2.7900  0.75301E-05  0.14297E-04
    2.8000  0.76388E-05  0.13721E-04
    2.8100  0.78019E-05  0.13145E-04
    2.8200  0.82596E-05  0.12569E-04
    2.8300  0.89829E-05  0.11993E-04
    2.8400  0.97347E-05  0.11417E-04
    2.8500  0.10241E-04  0.10841E-04
    2.8600  0.10266E-04  0.10266E-04
    2.8700  0.96189E-05  0.11376E-04
    2.8800  0.82495E-05  0.12487E-04
    2.8900  0.64179E-05  0.13598E-04
    2.9000  0.50414E-05  0.14708E-04
    2.9100  0.56943E-05  0.15819E-04
    2.9200  0.82580E-05  0.16930E-04
    2.9300  0.11534E-04  0.18041E-04
    2.9400  0.14911E-04  0.19151E-04
    2.9500  0.18093E-04  0.20262E-04
    2.9600  0.20914E-04  0.21373E-04
    2.9700  0.23299E-04  0.22484E-04
    2.9800  0.25241E-04  0.23594E-04
    2.9900  0.26766E-04  0.24705E-04
    3.0000  0.27919E-04  0.25816E-04
    3.0100  0.28798E-04  0.26927E-04
    3.0200  0.29570E-04  0.28037E-04
    3.0300  0.30414E-04  0.29148E-04
    3.0400  0.31404E-04  0.30259E-04
    3.0500  0.32433E-04  0.31370E-04
    3.0600  0.33254E-04  0.32480E-04
    3.0700  0.33591E-04  0.33591E-04
    3.0800  0.33259E-04  0.32929E-04
    3.0900  0.32226E-04  0.32267E-04
    3.1000  0.30547E-04  0.31605E-04
    3.1100  0.28265E-04  0.30943E-04
    3.1200  0.25368E-04  0.30281E-04
    3.1300  0.21810E-04  0.29619E-04
    3.1400  0.17581E-04  0.28957E-04
    3.1500  0.12833E-04  0.28295E-04
    3.1600  0.80001E-05  0.27633E-04
    3.1700  0.42750E-05  0.26970E-04
    3.1800  0.48043E-05  0.26308E-04
    3.1900  0.80203E-05  0.25646E-04
    3.2000  0.11258E-04  0.24984E-04
    3.2100  0.14047E-04  0.24322E-04
    3.2200  0.16327E-04  0.23660E-04
    3.2300  0.18149E-04  0.22998E-04
    3.2400  0.19571E-04  0.22336E-04
    3.2500  0.20559E-04  0.21674E-04
    3.2600  0.21012E-04  0.21012E-04
    3.2700  0.20874E-04  0.20957E-04
    3.2800  0.20239E-04  0.20902E-04
    3.2900  0.19341E-04  0.20847E-04
    3.3000  0.18446E-04  0.20792E-04
    3.3100  0.17715E-04  0.20737E-04
    3.3200  0.17231E-04  0.20682E-04
    3.3300  0.17069E-04  0.20627E-04
    3.3400  0.17307E-04  0.20572E-04
    3.3500  0.17958E-04  0.20517E-04
    3.3600  0.18879E-04  0.20462E-04
    3.3700  0.19788E-04  0.20407E-04
    3.3800  0.20352E-04  0.20352E-04
    3.3900  0.20295E-04  0.20360E-04
    3.4000  0.19484E-04  0.20368E-04
    3.4100  0.17923E-04  0.20377E-04
    3.4200  0.15714E-04  0.20385E-04
    3.4300  0.13007E-04  0.20394E-04
    3.4400  0.99588E-05  0.20402E-04
    3.4500  0.67151E-05  0.20410E-04
    3.4600  0.34202E-05  0.20419E-04
    3.4700  0.31264E-06  0.20427E-04
    3.4800  0.28455E-05  0.20435E-04
    3.4900  0.55388E-05  0.20444E-04
    3.5000  0.78251E-05  0.20452E-04
    3.5100  0.96685E-05  0.20461E-04
    3.5200  0.11071E-04  0.20469E-04
    3.5300  0.12063E-04  0.20477E-04
    3.5400  0.12742E-04  0.20486E-04
    3.5500  0.13288E-04  0.20494E-04
    3.5600  0.13908E-04  0.20503E-04
    3.5700  0.14740E-04  0.20511E-04
    3.5800  0.15784E-04  0.20519E-04
    3.5900  0.16948E-04  0.20528E-04
    3.6000  0.18095E-04  0.20536E-04
    3.6100  0.19084E-04  0.20545E-04
    3.6200  0.19826E-04  0.20553E-04
    3.6300  0.20313E-04  0.20561E-04
    3.6400  0.20570E-04  0.20570E-04
    3.6500  0.20561E-04  0.20464E-04
    3.6600  0.20175E-04  0.20358E-04
    3.6700  0.19274E-04  0.20253E-04
    3.6800  0.17745E-04  0.20147E-04
    3.6900  0.15502E-04  0.20042E-04
    3.7000  0.12522E-04  0.19936E-04
    3.7100  0.88972E-05  0.19830E-04
    3.7200  0.49221E-05  0.19725E-04
    3.7300  0.23032E-05  0.19619E-04
    3.7400  0.54026E-05  0.19514E-04
    3.7500  0.96749E-05  0.19408E-04
    3.7600  0.13567E-04  0.19302E-04
    3.7700  0.16589E-04  0.19197E-04
    3.7800  0.18437E-04  0.19091E-04
    3.7900  0.18985E-04  0.18985E-04
    3.8000  0.18265E-04  0.18563E-04
    3.8100  0.16427E-04  0.18140E-04
    3.8200  0.13761E-04  0.17717E-04
    3.8300  0.10684E-04  0.17295E-04
    3.8400  0.76030E-05  0.16872E-04
    3.8500  0.47872E-05  0.16450E-04
    3.8600  0.23628E-05  0.16027E-04
    3.8700  0.73431E-06  0.15604E-04
    3.8800  0.19005E-05  0.15182E-04
    3.8900  0.34592E-05  0.14759E-04
    3.9000  0.48807E-05  0.14336E-04
    3.9100  0.61889E-05  0.13914E-04
    3.9200  0.74101E-05  0.13491E-04
    3.9300  0.85518E-05  0.13068E-04
