     FRE.     REAL.    IMAG.    AMP.
    2.0000 0.17820085E-08 -.49761089E-08 0.52855667E-08
    2.0156 -.82000846E-03 -.82001061E-03 0.11596686E-02
    2.0313 -.22946500E-08 -.16071753E-02 0.16071753E-02
    2.0469 0.78769651E-03 -.78770035E-03 0.11139738E-02
    2.0625 0.42659667E-08 -.50278648E-09 0.42954937E-08
    2.0781 -.75741456E-03 -.75740973E-03 0.10711425E-02
    2.0938 -.68871189E-08 -.14859597E-02 0.14859597E-02
    2.1094 0.72898617E-03 -.72899659E-03 0.10309495E-02
    2.1250 0.45344382E-08 -.47595403E-08 0.65737624E-08
    2.1406 -.70226024E-03 -.70226117E-03 0.99314656E-03
    2.1563 -.23739075E-08 -.13789861E-02 0.13789861E-02
    2.1719 0.67709759E-03 -.67710050E-03 0.95756265E-03
    2.1875 0.48643258E-08 0.17786193E-08 0.51793005E-08
    2.2031 -.65336691E-03 -.65335684E-03 0.92399324E-03
    2.2188 -.11231666E-07 -.12840017E-02 0.12840017E-02
    2.2344 0.63095067E-03 -.63096662E-03 0.89231029E-03
    2.2500 0.11308215E-07 -.69184631E-08 0.13256729E-07
    2.2656 -.60975400E-03 -.60975418E-03 0.86232251E-03
    2.2813 -.55031832E-08 -.11991832E-02 0.11991832E-02
    2.2969 0.58969366E-03 -.58970402E-03 0.83396008E-03
    2.3125 0.20727149E-08 -.44062469E-08 0.48694107E-08
    2.3281 -.57068391E-03 -.57068164E-03 0.80706732E-03
    2.3438 -.71909554E-08 -.11230921E-02 0.11230921E-02
    2.3594 0.55263872E-03 -.55265182E-03 0.78155845E-03
    2.3750 0.11680289E-07 -.61479586E-08 0.13199490E-07
    2.3906 -.53549052E-03 -.53548970E-03 0.75729738E-03
    2.4063 -.77270812E-08 -.10544853E-02 0.10544853E-02
    2.4219 0.51918736E-03 -.51920424E-03 0.73425373E-03
    2.4375 -.67075279E-09 -.11281378E-07 0.11301301E-07
    2.4531 -.50367857E-03 -.50368829E-03 0.71231596E-03
    2.4688 0.12449817E-08 -.99240919E-03 0.99240919E-03
    2.4844 0.48890279E-03 -.48890588E-03 0.69141516E-03
    2.5000 0.46789057E-08 -.14193309E-08 0.48894435E-08
    2.5156 -.47480341E-03 -.47479995E-03 0.67147100E-03
    2.5313 -.72725808E-08 -.93599735E-03 0.93599735E-03
    2.5469 0.46134356E-03 -.46135770E-03 0.65244833E-03
    2.5625 0.22744882E-08 -.91067927E-08 0.93865316E-08
    2.5781 -.44849233E-03 -.44849986E-03 0.63426926E-03
    2.5938 0.10102428E-08 -.88457076E-03 0.88457076E-03
    2.6094 0.43621112E-03 -.43621229E-03 0.61689649E-03
    2.6250 0.25034954E-08 0.98442787E-09 0.26900906E-08
    2.6406 -.42445736E-03 -.42445018E-03 0.60026831E-03
    2.6563 -.84047365E-08 -.83753449E-03 0.83753449E-03
    2.6719 0.41319805E-03 -.41320937E-03 0.58435829E-03
    2.6875 0.96738670E-08 -.30529284E-08 0.10144165E-07
    2.7031 -.40241104E-03 -.40240464E-03 0.56909060E-03
    2.7188 -.10546469E-07 -.79437642E-03 0.79437642E-03
    2.7344 0.39206972E-03 -.39208552E-03 0.55448146E-03
    2.7500 0.14207648E-07 -.48994084E-08 0.15028688E-07
    2.7656 -.38214398E-03 -.38213521E-03 0.54042699E-03
    2.7813 -.16269926E-07 -.75466954E-03 0.75466954E-03
    2.7969 0.37261253E-03 -.37264009E-03 0.52697316E-03
    2.8125 0.12913965E-07 -.13217205E-07 0.18478772E-07
    2.8281 -.36346252E-03 -.36346138E-03 0.51401282E-03
    2.8438 -.15774257E-07 -.71805628E-03 0.71805628E-03
    2.8594 0.35466804E-03 -.35470043E-03 0.50159928E-03
    2.8750 0.31309156E-07 -.15177891E-07 0.34794134E-07
    2.8906 -.34619091E-03 -.34617996E-03 0.48958015E-03
    2.9063 -.40287166E-07 -.68417349E-03 0.68417349E-03
    2.9219 0.33801195E-03 -.33811168E-03 0.47809162E-03
    2.9375 0.10017077E-07 -.87124292E-07 0.87698254E-07
    2.9531 -.33015662E-03 -.33027268E-03 0.46699404E-03
    2.9688 0.56374741E-07 -.65282534E-03 0.65282534E-03
    2.9844 0.32270051E-03 -.32268304E-03 0.45635508E-03
    3.0000 0.64368280E-07 -.31232805E-07 0.71545536E-07
    3.0156 -.31528040E-03 -.31537210E-03 0.44593867E-03
    3.0313 0.82655980E-07 -.62360393E-03 0.62360393E-03
