     FRE.     REAL.    IMAG.    AMP.
    6.5430 -.67470949E-02 0.18571038E-01 0.19758713E-01
    6.5918 -.97934902E-02 -.73171854E-02 0.12225124E-01
    6.6406 0.11182048E-01 -.40530646E-02 0.11893929E-01
    6.6895 0.40716189E-02 0.14856765E-01 0.15404595E-01
    6.7383 -.21308485E-01 0.55528656E-02 0.22020124E-01
    6.7871 -.98972265E-02 -.20449135E-01 0.22718323E-01
    6.8359 0.14040201E-01 -.63038254E-02 0.15390434E-01
    6.8848 -.85394038E-02 0.17465392E-01 0.19441228E-01
    6.9336 -.18781282E-01 -.24792559E-01 0.31103175E-01
    6.9824 0.41302968E-01 -.16920228E-01 0.44634394E-01
    7.0313 0.15751736E-01 0.37794262E-01 0.40945370E-01
    7.0801 -.38900819E-01 0.96169608E-02 0.40071931E-01
    7.1289 0.21244645E-01 -.42906325E-01 0.47877841E-01
    7.1777 0.39344613E-01 0.26413472E-01 0.47388501E-01
    7.2266 -.23076737E-01 0.43633487E-01 0.49360074E-01
    7.2754 -.32438513E-01 -.23912877E-01 0.40299911E-01
    7.3242 0.29587131E-01 -.10916338E-01 0.31536721E-01
    7.3730 -.13701293E-01 0.51633943E-01 0.53420871E-01
    7.4219 -.48406865E-01 -.42869817E-01 0.64661004E-01
    7.4707 0.36274079E-01 -.39563905E-01 0.53675987E-01
    7.5195 0.31440608E-01 0.39264098E-01 0.50300907E-01
    7.5684 -.38200401E-01 0.18584853E-01 0.42481378E-01
    7.6172 0.79147164E-02 -.49524363E-01 0.50152820E-01
    7.6660 0.28046427E-01 0.18634519E-01 0.33672649E-01
    7.7148 -.10342785E-01 0.21801379E-01 0.24130341E-01
    7.7637 -.89040324E-02 -.20115316E-01 0.21997903E-01
    7.8125 0.18511526E-01 -.11314369E-01 0.21695428E-01
    7.8613 0.70544583E-03 0.24482470E-01 0.24492631E-01
    7.9102 -.14946007E-01 -.49485127E-02 0.15743917E-01
    7.9590 0.40786853E-02 -.17774917E-01 0.18236868E-01
    8.0078 0.18375680E-01 -.18761421E-02 0.18471207E-01
    8.0566 0.44937460E-02 0.16620530E-01 0.17217310E-01
    8.1055 -.55952906E-02 -.63247117E-03 0.56309234E-02
    8.1543 0.81875185E-02 0.27441459E-02 0.86351484E-02
    8.2031 -.30498765E-02 0.20847216E-01 0.21069128E-01
    8.2520 -.27807396E-01 -.58508073E-02 0.28416250E-01
    8.3008 -.17733617E-02 -.16434932E-01 0.16530329E-01
    8.3496 0.83331829E-02 -.81171803E-02 0.11633166E-01
    8.3984 0.51495959E-02 -.37127743E-02 0.63484670E-02
    8.4473 -.44053444E-02 0.41224496E-02 0.60333777E-02
    8.4961 0.34163392E-02 -.63830530E-02 0.72398023E-02
