     FRE.     REAL.    IMAG.    AMP.
   15.1450 0.12028137E-02 -.45778029E-03 0.12869823E-02
   15.2427 0.12792430E-02 -.58677001E-03 0.14073953E-02
   15.3405 0.12493102E-02 -.71039132E-03 0.14371610E-02
   15.4382 0.10352997E-02 -.88708388E-03 0.13633647E-02
   15.5359 0.10370881E-02 -.77037286E-03 0.12919080E-02
   15.6336 0.81006088E-03 -.73463464E-03 0.10935661E-02
   15.7313 0.81963872E-03 -.91355987E-03 0.12273546E-02
   15.8290 0.73749200E-03 -.94096671E-03 0.11955387E-02
   15.9267 0.40929488E-03 -.10134106E-02 0.10929425E-02
   16.0244 0.39011138E-03 -.10663966E-02 0.11355125E-02
   16.1221 0.31352093E-03 -.10860412E-02 0.11303897E-02
   16.2198 0.28258385E-03 -.97455597E-03 0.10146984E-02
   16.3176 0.72472678E-04 -.80444373E-03 0.80770167E-03
   16.4153 0.10662899E-03 -.86255418E-03 0.86911995E-03
   16.5130 -.54045104E-05 -.87530824E-03 0.87532494E-03
   16.6107 0.11363848E-03 -.68102207E-03 0.69043809E-03
   16.7084 0.34584958E-04 -.62069838E-03 0.62166114E-03
   16.8061 -.20386928E-03 -.76759182E-03 0.79420395E-03
   16.9038 -.28376779E-03 -.28919562E-03 0.40516449E-03
   17.0015 -.15145462E-03 -.42548531E-03 0.45163729E-03
   17.0992 -.17923789E-03 -.28599697E-03 0.33752108E-03
   17.1969 -.41479908E-03 0.50732840E-04 0.41789006E-03
   17.2947 -.17036195E-03 0.14178720E-04 0.17095095E-03
   17.3924 -.13399567E-03 0.33875366E-03 0.36429230E-03
   17.4901 -.89354166E-04 0.12354509E-03 0.15247149E-03
   17.5878 -.18244973E-03 0.21322651E-03 0.28063045E-03
   17.6855 -.45026336E-04 0.25531615E-03 0.25925605E-03
   17.7832 0.54475229E-04 0.36925953E-03 0.37325616E-03
   17.8809 0.21665174E-03 0.57237415E-03 0.61200501E-03
   17.9786 0.31755329E-03 0.49265323E-03 0.58612908E-03
   18.0763 0.31974135E-03 0.30845354E-03 0.44427256E-03
   18.1740 0.32237783E-03 0.33194051E-03 0.46272235E-03
   18.2718 0.48267754E-03 0.33770668E-03 0.58908691E-03
   18.3695 0.56731387E-03 0.49529888E-03 0.75310422E-03
   18.4672 0.67624892E-03 0.32500344E-03 0.75029314E-03
   18.5649 0.88731619E-03 0.16759154E-03 0.90300437E-03
   18.6626 0.74503897E-03 0.14866664E-03 0.75972680E-03
   18.7603 0.74195693E-03 0.16755065E-03 0.76064008E-03
   18.8580 0.87848288E-03 0.86073742E-04 0.88268955E-03
   18.9557 0.11016669E-02 -.33013686E-04 0.11021615E-02
   19.0534 0.10863083E-02 -.20402276E-03 0.11053013E-02
   19.1511 0.90187957E-03 -.21885807E-03 0.92805474E-03
   19.2489 0.89445815E-03 -.21739902E-03 0.92049863E-03
   19.3466 0.10620407E-02 -.34674074E-03 0.11172106E-02
   19.4443 0.95938088E-03 -.62113762E-03 0.11429014E-02
   19.5420 0.83457492E-03 -.71067759E-03 0.10961652E-02
   19.6397 0.72419445E-03 -.50465250E-03 0.88268443E-03
   19.7374 0.82411518E-03 -.66598092E-03 0.10595737E-02
   19.8351 0.74765919E-03 -.88839448E-03 0.11611369E-02
   19.9328 0.59528730E-03 -.78514696E-03 0.98530331E-03
   20.0305 0.45781294E-03 -.72161353E-03 0.85458689E-03
   20.1282 0.43273278E-03 -.74339495E-03 0.86017075E-03
   20.2260 0.50955667E-03 -.76053035E-03 0.91545313E-03
