     FRE.     REAL.    IMAG.    AMP.
   15.3171 -.21733537E-02 -.16517752E-02 0.27298036E-02
   15.4146 0.30248042E-02 0.16545915E-02 0.34477694E-02
   15.5122 0.35822668E-03 -.21353529E-02 0.21651925E-02
   15.6098 -.50841492E-04 -.28151789E-03 0.28607197E-03
   15.7073 -.50717220E-03 -.52820602E-02 0.53063533E-02
   15.8049 0.14520254E-04 0.31769113E-02 0.31769446E-02
   15.9024 -.60480929E-05 0.63092145E-03 0.63095044E-03
   16.0000 -.16096384E-02 -.28575218E-03 0.16348059E-02
   16.0976 -.45764679E-03 -.64908486E-03 0.79419883E-03
   16.1951 0.49901200E-02 0.62072545E-03 0.50285780E-02
   16.2927 -.31224724E-02 -.29717593E-02 0.43105902E-02
   16.3902 -.49671847E-02 -.47924003E-03 0.49902499E-02
   16.4878 -.16728744E-02 -.22016920E-03 0.16873006E-02
   16.5854 -.21014368E-03 0.37547858E-02 0.37606617E-02
   16.6829 -.31191870E-02 0.22602014E-03 0.31273651E-02
   16.7805 -.82185853E-03 0.27056839E-02 0.28277512E-02
   16.8780 0.24981890E-02 -.13189515E-02 0.28249922E-02
   16.9756 0.17005609E-02 0.19429243E-02 0.25820269E-02
   17.0732 -.19288007E-02 -.43673171E-02 0.47742780E-02
   17.1707 -.29955087E-02 0.27770167E-02 0.40847147E-02
   17.2683 0.80271316E-03 0.27969610E-02 0.29098692E-02
   17.3659 0.15692592E-02 0.30397391E-02 0.34209045E-02
   17.4634 0.89048693E-03 -.66208135E-03 0.11096480E-02
   17.5610 0.16067753E-02 0.18970571E-02 0.24860718E-02
   17.6585 -.66978486E-04 0.28163474E-02 0.28171437E-02
   17.7561 0.47690392E-03 0.40420960E-02 0.40701325E-02
   17.8537 -.24227037E-02 0.36362624E-02 0.43694275E-02
   17.9512 -.23833851E-02 -.96624240E-03 0.25717989E-02
   18.0488 0.21186809E-02 0.14206666E-02 0.25509023E-02
   18.1463 -.31120104E-02 -.15307809E-02 0.34681261E-02
   18.2439 0.50614390E-03 0.27880532E-03 0.57785294E-03
   18.3415 -.14875318E-02 -.58837380E-04 0.14886949E-02
   18.4390 -.34851907E-03 0.10930264E-02 0.11472455E-02
   18.5366 0.12167735E-02 -.13568571E-02 0.18225255E-02
   18.6341 -.10770827E-02 0.50658430E-03 0.11902667E-02
   18.7317 0.18919526E-02 -.35200531E-02 0.39962805E-02
   18.8293 -.46668844E-02 -.29478960E-02 0.55199550E-02
   18.9268 -.11782413E-02 0.50256234E-02 0.51618936E-02
   19.0244 -.52099134E-03 0.11823451E-02 0.12920417E-02
   19.1220 -.20015913E-02 -.10003084E-02 0.22376291E-02
   19.2195 -.13337500E-02 0.25520572E-02 0.28795633E-02
   19.3171 -.88229228E-03 -.29624689E-02 0.30910615E-02
   19.4146 0.30530049E-04 0.25801712E-02 0.25803519E-02
   19.5122 -.34870510E-03 0.38276915E-02 0.38435424E-02
   19.6098 -.17095749E-02 0.85220538E-03 0.19102095E-02
   19.7073 0.32766143E-03 -.52575963E-02 0.52677966E-02
   19.8049 0.20048167E-02 -.33130476E-03 0.20320071E-02
   19.9024 0.35216642E-03 0.58190635E-03 0.68017363E-03
   20.0000 0.27121326E-02 0.38090334E-03 0.27387498E-02
   20.0976 0.20353477E-03 -.45014769E-03 0.49402361E-03
   20.1951 0.14486478E-02 0.20411361E-02 0.25029618E-02
   20.2927 0.56324800E-03 0.32873431E-02 0.33352470E-02
   20.3902 0.41381028E-02 -.13679722E-02 0.43583531E-02
   20.4878 -.16609780E-02 0.16569685E-03 0.16692224E-02
   20.5854 -.14597223E-02 0.16464760E-02 0.22003800E-02
   20.6829 -.14819764E-02 -.17226507E-02 0.22723952E-02
   20.7805 -.21384310E-02 0.59403493E-02 0.63135279E-02
   20.8780 0.38350709E-02 0.76662388E-03 0.39109439E-02
   20.9756 -.10325665E-02 -.32435826E-02 0.34039714E-02
   21.0732 0.12940353E-02 -.34518393E-02 0.36864241E-02
   21.1707 0.28391829E-03 0.14695022E-03 0.31969353E-03
   21.2683 -.23480251E-02 0.12041704E-02 0.26387968E-02
   21.3659 -.13920552E-02 -.26280307E-02 0.29739474E-02
   21.4634 0.10066995E-02 0.11702601E-02 0.15436815E-02
   21.5610 -.52965293E-02 -.13863951E-02 0.54749716E-02
   21.6585 -.68332162E-03 -.34755361E-02 0.35420728E-02
   21.7561 0.15117727E-02 0.38886545E-02 0.41721808E-02
   21.8537 0.37543036E-02 -.13634182E-02 0.39942088E-02
   21.9512 -.20269516E-02 0.21558024E-02 0.29590568E-02
   22.0488 0.52781953E-02 0.93145698E-03 0.53597535E-02
   22.1463 0.28438915E-02 -.29923555E-02 0.41281851E-02
   22.2439 -.38791861E-03 0.20445196E-02 0.20809954E-02
   22.3415 -.25161186E-02 -.13198915E-02 0.28412966E-02
   22.4390 -.47853705E-03 0.43437508E-03 0.64628123E-03
