     FRE.     REAL.    IMAG.    AMP.
   17.4901 0.63672656E-03 -.70263650E-06 0.63672697E-03
   17.5878 0.54514938E-03 -.15776567E-03 0.56751905E-03
   17.6855 0.44711409E-03 -.28536047E-03 0.53041644E-03
   17.7832 0.31254461E-03 -.23675375E-03 0.39209242E-03
   17.8809 0.34708684E-03 -.59104135E-04 0.35208318E-03
   17.9786 0.17610325E-03 -.24400713E-03 0.30091833E-03
   18.0763 0.21399976E-04 -.10394296E-03 0.10612304E-03
   18.1740 0.55251125E-03 -.19073345E-03 0.58450655E-03
   18.2718 0.29485169E-03 -.39090536E-03 0.48963714E-03
   18.3695 -.11390281E-02 -.62018365E-03 0.12969243E-02
   18.4672 0.22668604E-03 -.41687430E-03 0.47452160E-03
   18.5649 -.29715127E-03 0.27646805E-03 0.40587370E-03
   18.6626 0.76778815E-03 -.53998496E-03 0.93865988E-03
   18.7603 0.68950775E-03 -.82429574E-03 0.10746554E-02
   18.8580 0.17886530E-02 -.10385163E-02 0.20682833E-02
   18.9557 -.13092088E-01 0.42662323E-02 0.13769658E-01
   19.0534 -.15715194E-02 0.16983876E-03 0.15806702E-02
   19.1511 -.92460652E-03 0.10064226E-03 0.93006779E-03
   19.2489 -.94239350E-03 -.48976223E-03 0.10620605E-02
   19.3466 0.99077988E-04 0.38361771E-03 0.39620575E-03
   19.4443 0.11272265E-03 0.24540543E-02 0.24566418E-02
   19.5420 -.89899072E-03 -.79253840E-03 0.11984579E-02
   19.6397 -.84907413E-04 0.28606798E-03 0.29840268E-03
   19.7374 0.21283694E-03 -.55641623E-03 0.59573364E-03
   19.8351 -.35254657E-03 0.31817501E-03 0.47489413E-03
   19.9328 -.29679463E-03 0.26775189E-03 0.39972257E-03
   20.0305 -.35181042E-03 0.16183549E-03 0.38724838E-03
   20.1282 -.27299472E-03 0.14161444E-03 0.30753986E-03
   20.2260 -.23219078E-03 0.29987244E-04 0.23411919E-03
   20.3237 -.41852327E-03 0.29830789E-03 0.51395461E-03
   20.4214 0.52469724E-03 0.93278868E-04 0.53292414E-03
   20.5191 -.90688867E-04 0.18257367E-03 0.20385685E-03
   20.6168 -.10473521E-03 0.40949781E-04 0.11245599E-03
   20.7145 -.83663203E-04 -.47408659E-04 0.96161908E-04
   20.8122 -.46302961E-04 -.16757876E-04 0.49242164E-04
   20.9099 0.17674596E-04 -.14185366E-03 0.14295052E-03
   21.0076 -.75387870E-04 0.40738749E-04 0.85691172E-04
   21.1053 0.99506460E-05 0.32343494E-03 0.32358797E-03
   21.2031 0.10973892E-03 -.27954439E-03 0.30031268E-03
   21.3008 0.15991792E-03 0.42227691E-03 0.45154348E-03
   21.3985 0.11721875E-03 -.63325919E-04 0.13323066E-03
   21.4962 -.56048601E-04 -.24215385E-03 0.24855571E-03
   21.5939 0.17838354E-04 -.44998615E-04 0.48405393E-04
   21.6916 -.19806788E-03 -.24258636E-03 0.31317573E-03
   21.7893 0.32116807E-03 -.20041311E-04 0.32179276E-03
   21.8870 -.32755229E-03 -.30526583E-03 0.44774738E-03
   21.9847 -.34649798E-03 -.39914719E-03 0.52856345E-03
   22.0824 -.34052573E-03 -.12109683E-03 0.36141695E-03
   22.1802 -.36436136E-03 -.21836927E-03 0.42478740E-03
   22.2779 -.28067440E-03 -.63511590E-03 0.69437042E-03
   22.3756 -.17534725E-03 -.17013210E-03 0.24431862E-03
   22.4733 -.32412336E-03 -.30521664E-03 0.44521136E-03
   22.5710 -.43248880E-03 -.11825377E-03 0.44836427E-03
   22.6687 0.33922290E-03 0.12898816E-03 0.36291889E-03
   22.7664 -.69855574E-04 -.79094971E-04 0.10552637E-03
   22.8641 -.19027793E-03 -.39672392E-03 0.43999494E-03
   22.9618 -.11756224E-03 -.23599041E-04 0.11990744E-03
   23.0595 -.32123650E-03 -.16624124E-03 0.36170296E-03
   23.1573 -.38921271E-03 0.65097073E-03 0.75845199E-03
   23.2550 -.23670308E-03 -.11954738E-03 0.26517906E-03
   23.3527 0.60372218E-03 -.60606888E-03 0.85545308E-03
   23.4504 -.19167783E-02 0.95820072E-03 0.21429390E-02
   23.5481 -.11517906E-02 0.30183292E-03 0.11906824E-02
   23.6458 -.79775933E-03 -.22010665E-04 0.79806295E-03
   23.7435 -.78937173E-03 0.22024391E-04 0.78967895E-03
   23.8412 -.10469023E-02 0.18381897E-04 0.10470636E-02
   23.9389 -.71974081E-03 -.22835440E-03 0.75509772E-03
   24.0366 -.61320333E-03 0.50683727E-03 0.79555158E-03
   24.1344 -.54547837E-03 0.31976707E-03 0.63229550E-03
   24.2321 -.28486119E-03 0.49169052E-04 0.28907350E-03
   24.3298 -.26413094E-03 0.29901791E-03 0.39896974E-03
   24.4275 -.38728723E-03 0.47154570E-03 0.61020220E-03
   24.5252 -.60341321E-03 -.39910628E-04 0.60473167E-03
   24.6229 -.32461132E-03 0.55319857E-03 0.64140564E-03
   24.7206 -.11516656E-02 -.13106124E-03 0.11590990E-02
   24.8183 0.32951650E-02 -.23093959E-02 0.40238565E-02
   24.9160 -.27629308E-03 0.55804173E-03 0.62269450E-03
   25.0137 0.52858854E-03 -.28164868E-03 0.59894228E-03
   25.1115 0.30032694E-03 -.35070330E-04 0.30236764E-03
   25.2092 -.26142623E-03 0.13445379E-03 0.29397535E-03
   25.3069 0.95900366E-04 0.17213311E-03 0.19704488E-03
   25.4046 -.24047012E-03 -.20853485E-03 0.31829652E-03
   25.5023 -.24724758E-03 0.27456280E-03 0.36948084E-03
