     FRE.     REAL.    IMAG.    AMP.
   12.2137 0.39733783E-03 -.12185430E-03 0.41560296E-03
   12.3115 -.29463638E-03 -.31940005E-03 0.43454228E-03
   12.4092 0.15008009E-03 0.68423554E-03 0.70050149E-03
   12.5069 -.82596421E-03 -.30948981E-04 0.82654384E-03
   12.6046 0.50089927E-03 0.10816810E-02 0.11920293E-02
   12.7023 -.12128662E-02 -.14035241E-03 0.12209599E-02
   12.8000 -.31766543E-03 0.71830646E-03 0.78541425E-03
   12.8977 -.11303201E-02 0.16282000E-03 0.11419868E-02
   12.9954 0.42847625E-03 0.25349407E-03 0.49784651E-03
   13.0931 -.91382855E-04 0.58389077E-03 0.59099850E-03
   13.1908 0.25186301E-03 0.57921262E-03 0.63160289E-03
   13.2885 -.33435406E-03 -.91852172E-03 0.97748393E-03
   13.3863 -.12794868E-03 0.13894796E-02 0.13953582E-02
   13.4840 -.85645093E-04 -.13943480E-02 0.13969758E-02
   13.5817 0.42056109E-03 0.57496410E-03 0.71235897E-03
   13.6794 -.35858221E-03 0.54979260E-04 0.36277255E-03
   13.7771 -.73026342E-04 0.41267145E-03 0.41908302E-03
   13.8748 -.59354951E-03 -.59826118E-04 0.59655693E-03
   13.9725 0.24444514E-03 -.18873566E-03 0.30882776E-03
   14.0702 -.78143348E-04 0.32335031E-03 0.33265870E-03
   14.1679 -.87539299E-03 0.57611851E-04 0.87728671E-03
   14.2656 0.40472852E-03 0.30281450E-03 0.50547183E-03
   14.3634 -.15979218E-02 0.33769294E-03 0.16332149E-02
   14.4611 0.29687322E-03 -.51625603E-03 0.59552834E-03
   14.5588 -.70345605E-03 0.94924378E-03 0.11814882E-02
   14.6565 -.25150107E-03 -.38665551E-03 0.46125401E-03
   14.7542 -.30289570E-03 0.57678728E-03 0.65148243E-03
   14.8519 -.12378667E-02 -.53236861E-03 0.13474904E-02
   14.9496 0.14016584E-03 0.42360267E-03 0.44619018E-03
   15.0473 -.69652905E-03 0.44583116E-03 0.82699343E-03
   15.1450 -.86106866E-03 0.19699727E-03 0.88331598E-03
   15.2427 -.29232007E-03 0.17254305E-03 0.33944385E-03
   15.3405 -.94686419E-03 -.36667519E-04 0.94757392E-03
   15.4382 0.11568973E-02 0.80987898E-04 0.11597286E-02
   15.5359 -.14020195E-02 0.54734113E-03 0.15050718E-02
   15.6336 -.39437696E-03 -.10350104E-02 0.11076009E-02
   15.7313 -.75125939E-03 0.68300986E-03 0.10153290E-02
   15.8290 -.40560035E-03 -.12715554E-03 0.42506491E-03
   15.9267 0.73708259E-04 0.12267306E-02 0.12289430E-02
   16.0244 -.67876530E-03 0.73456240E-03 0.10001521E-02
   16.1221 0.14596918E-03 0.52126148E-03 0.54131373E-03
   16.2198 -.74983574E-03 0.66044577E-03 0.99922088E-03
   16.3176 -.79415739E-03 -.11507524E-04 0.79424074E-03
   16.4153 0.51477560E-04 0.61163714E-03 0.61379961E-03
   16.5130 -.13448410E-02 0.36621263E-04 0.13453395E-02
   16.6107 0.15800010E-03 -.24437273E-03 0.29100181E-03
   16.7084 0.26330864E-02 0.27026623E-02 0.37732648E-02
